Values,Values_04_08_03,Values_04_17_47,Values_04_27_29,Values_04_37_11,Values_04_46_53,Values_04_56_22
0.965701838408034,0.9553720475857675,1.0423213856312623,1.061189739164934,1.0840256680219909,1.1163505211649485,1.1556338718080867
0.9659565108235664,0.9616724240840192,1.0510283339221715,1.0717952154534696,1.096390882618053,1.130593065344938,1.1720257420311468
0.9662153003945112,0.9677492979759462,1.0593401106142613,1.0818790605013744,1.1081062263061503,1.1440350836090516,1.1874400325611616
0.966478052139208,0.97358593050098,1.0672392616739976,1.0914229836710827,1.119152059445647,1.1566556758290372,1.2018537413161798
0.9667445987947606,0.9791662850910184,1.0747101917151254,1.1004119209620469,1.129513604374745,1.168440805706493,1.215253199782691
0.9670147607248338,0.984475036853454,1.0817390668864184,1.108833837983192,1.1391806281088006,1.1793828294550486,1.2276334254576942
0.9672883458616874,0.989497572468966,1.08831369412488,1.1166794937352906,1.1481470661097235,1.1894799400048888,1.2389973566362427
0.9675651496842784,0.9942199808199484,1.094423378924048,1.1239421694300844,1.156410594338517,1.1987355381620568,1.249354986338084
0.967844955234154,0.9986290348463936,1.100058764195342,1.1306173672282336,1.1639721577233488,1.2071575434007376,1.2587224138280482
0.9681275331708538,1.0027121653056608,1.1052116532002696,1.136702484367171,1.17083546396242,1.21475765797026,1.2671208334494852
0.9684126418683972,1.006457427286897,1.1098748198935295,1.1421964686600024,1.1770064522191055,1.2215505987442896,1.274575481344686
0.9687000275544152,1.0098534604963372,1.1140418103333711,1.1470994617666923,1.1824927467447346,1.2275533117181043,1.2811145610780954
0.968989424493304,1.0128894444822385,1.1177067390776647,1.1514124369584844,1.187303105772194,1.2327841842666836,1.286768169213022
0.9692805552147308,1.015555050104134,1.120864084684576,1.1551368383070522,1.1914468761544972,1.2372622702113625,1.2915672415336237
0.969573130788619,1.0178403886666525,1.1235084885687552,1.1582742283237866,1.1949334641723215,1.241006542411018,1.2955425398713187
0.9698668511476498,1.0197359602299687,1.1256345615221084,1.1608259510464105,1.1977718327017404,1.24403518700319,1.298723698413018
0.9701614054580928,1.0212326026738143,1.1272367021876724,1.162792817415713,1.199970034519003,1.2463649525832976,1.3011383469667683
0.9704564725396448,1.0223214431273904,1.1283089316732593,1.1641748195032942,1.2015347909272889,1.2480105665411516,1.3028113269704251
0.970751721334704,1.0229938533810905,1.1288447483062316,1.1649708797417753,1.2024711241269836,1.2489842294909257,1.303764014084776
0.9710468114273456,1.023241410866382,1.1288370062626225,1.1651786407752045,1.2027820508258271,1.2492951972541635,1.304013759050012
0.9713413936119684,1.0230558667262857,1.1282778214538909,1.16479430089393,1.20246834350958,1.2489494582075564,1.303573456140012
0.9716351105114032,1.022429122400851,1.1271585076270785,1.1638124992532155,1.201528364582764,1.247949512013551,1.3024512460608295
