Values,Values_02_26_59,Values_02_44_01,Values_03_01_39,Values_03_16_17
1.7323607760873996,1.7264612049952557,1.719272486331484,1.7120297232891548,1.7056390626115951
1.57102364984717,1.5653196362810131,1.558323154702974,1.5512388407591136,1.544976565425466
1.4080747348979386,1.4025778923318517,1.3957949895943866,1.3888941171066018,1.382784011361756
1.2445277483694546,1.23924584681049,1.232695665175625,1.226001627083478,1.22006631332423
1.0813672094839415,1.0763045187156153,1.07000397764928,1.0635384005373698,1.0577991250784118
0.9195338886450511,0.9146916658410508,0.9086555391968852,0.902438197189443,0.8969146759898338
0.7599148911698618,0.7552919741486182,0.7495330514854238,0.7435818524963582,0.7382921728541365
0.6033383819092082,0.5989318488506303,0.593461162473304,0.5877921962733069,0.582752768988523
0.450572505834554,0.4463783647557121,0.4412054635882013,0.4358331000495915,0.43105865556186146
0.3023277290355261,0.2983416049924445,0.2934748573060856,0.2884118830552434,0.2839155046278341
0.1592616103145517,0.1554794043555232,0.1509263134307968,0.1461840958843669,0.1419772830462203
0.0219849036478092,0.0184034042355891,0.0141709238956384,0.0097595931362966,0.005852349263348872
-0.1089320784779614,-0.1123146442115993,-0.1162198039562926,-0.1202911630275174,-0.12389022402321713
-0.2329537929672097,-0.2361372746854251,-0.2397083582725853,-0.2434315088518369,-0.2467150404221324
-0.3495752608162097,-0.3525571685449807,-0.3557871050281181,-0.3591544595312373,-0.36211624727617436
-0.4583198710880986,-0.4610950243033804,-0.4639761777108425,-0.4669805983422921,-0.4696154127287198
-0.5587394927518187,-0.5612997296886497,-0.5638236683352225,-0.5664582669160042,-0.5687617040486326
-0.6504169488433383,-0.6527508893442918,-0.6549081718246959,-0.6571661079312441,-0.6591344180398847
-0.7329706743439797,-0.7350635294261658,-0.736843504885274,-0.7387177813267841,-0.7403476847380175
-0.8060612052839317,-0.8078946275944872,-0.8092852486040513,-0.8107685039861864,-0.8120569950334663
-0.8693989903986634,-0.8709509616568888,-0.8719386095219663,-0.8730229090344523,-0.8739670495792273
-0.9227529174401436,-0.923997671582072,-0.9245669959642288,-0.9252436234323768,-0.9258403292999151
-0.9659589129202876,-0.9668668966716176,-0.9670006738026844,-0.9672599302384216,-0.9675057557386925
-0.9989279573255112,-0.9994658330008724,-0.9991448491814136,-0.998975865294542,-0.9988667928845104
-1.0216529115290875,-1.0217836096494746,-1.0209865788786825,-1.02037715098519,-1.0199083948036982
