Values,Values_00_35_44,Values_00_44_51
1.5381113303482543,1.573813069095568,1.585601471306546
1.5179045356366558,1.552447921323158,1.5639452064978534
1.4985370687860162,1.5319606973179796,1.5431847637626246
1.4799291339858671,1.5122808123806932,1.523251394426631
1.4619492419699194,1.4932851292610054,1.504023343679592
1.4444184321877562,1.4748020454623203,1.4853299245108964
1.42711580048319,1.456616907885532,1.4669569294461489
1.4097852168724532,1.438478646674192,1.4486532730436465
1.3921430504906858,1.4201074511553722,1.4301386887436403
1.3738866634835432,1.4012032535932943,1.4111122460185692
1.354703401944343,1.3814547506033523,1.3912614173952995
1.3342797999370728,1.3605486776705944,1.3702714100003661
1.3123107220161845,1.3381790592545,1.347834482820889
1.2885081922799937,1.3140561774134958,1.3236589908744263
1.262609704543832,1.2879150465401692,1.297477941748475
1.2343858649501134,1.2595232369947478,1.2690569048463753
1.2036472654427224,1.2286879364248586,1.2382011594143334
1.1702505338632665,1.195262184201464,1.2047620138787813
1.1341035382899565,1.1591502459957004,1.1686422604512994
1.095169733663767,1.1203121061135264,1.1298007394491538
1.0534716309472991,1.0787670479839555,1.088255980489972
1.0090933339957289,1.03459625916268,1.0440888536865653
0.9621820466915764,0.987944356121222,0.9974441229792304
0.9129484066135072,0.9390196799077388,0.9485307498240872
0.8616654501853238,0.8880931651550392,0.8976207473152359
0.8086659901132973,0.8354955641357247,0.845046364802894
0.7543381985560673,0.781612824104493,0.7911954006549317
0.6991192338567843,0.7268794648691288,0.7365044908746584
0.6434868406563928,0.6717698998951694,0.6814503192487431
0.5879489934412205,0.6167877885000328,0.6265388406671375
0.533031820934397,0.5624536772003959,0.572292781440969
0.4792662271671312,0.509291368459065,0.5192378620330459
0.4271737948728243,0.4578136248566696,0.46788835834400627
0.3772526862126372,0.4085079440282926,0.4187327453200437
0.3299643208516715,0.3618232007364145,0.3722202272771879
0.2857216038643446,0.3181579393044149,0.3287489450692394
0.2448793864340984,0.2778510035192328,0.28865655240653604
0.207727675758063,0.2411750176596446,0.2522136780913411
0.1744878966686183,0.2083330119624852,0.21962056836284594
0.1453122675906742,0.1794582405450508,0.19100695613349505
0.1202861123157932,0.1546169946875517,0.16643495697178645
0.0994327226050836,0.1338140054717078,0.14590458139490933
0.0827202310613686,0.1169998731878335,0.12936129553051598
0.0700698572394836,0.1040798646011314,0.11670496539223155
0.0613648573818454,0.0949233875826574,0.10779948827902644
0.0564595292100813,0.0893734752183202,0.1024824375119264
0.0551876937870113,0.087255684038843,0.10057411950304511
0.0573701898210808,0.0883859266246113,0.10188555811169775
0.0628210428428062,0.0925768884701713,0.10622505129261706
0.0713521042518918,0.0996428145124751,0.11340308105347106
0.0827760997652767,0.1094025986310894,0.12323550622751206
0.0969081580717825,0.1216812444878891,0.13554510332377684
0.1135659977211303,0.1363098773963174,0.15016163285890224
0.1325690415166242,0.1531245823890392,0.16692070498474237
0.1537367885437108,0.1719644086422093,0.18566178422797514
0.1768868003345204,0.1926689105194713,0.20622570430707654
0.201832654479093,0.2150755953889813,0.22845206489781644
0.2283821852516027,0.2390176168259173,0.25217685160197567
0.2563362713071169,0.2643219934804262,0.27723056281876324
0.285488351114508,0.29080855460674,0.3034370485217781
0.3156247623295478,0.3182897278551201,0.3306131809226772
0.3465259136261526,0.3465711953844885,0.35856938760799895
0.377968209075171,0.3754533533126316,0.3871109866287344
0.4097265830137958,0.4047334442131415,0.41604019745400517
