Values,Values_10_23_32,Values_10_34_05,Values_10_44_06,Values_10_54_03,Values_11_03_59,Values_11_14_02,Values_11_24_53,Values_11_35_15,Values_11_45_35,Values_11_55_55,Values_12_06_13,Values_12_16_30,Values_12_26_46,Values_12_29_02
1.0083351058681116,0.9750554184004404,0.8069475065391458,0.8155637557108335,0.8272936360841617,0.8325412093084041,0.8344620853328693,0.837261380950532,0.8435916139996625,0.8547885909401328,0.8699622367975061,0.8863075573920579,0.9014013004356768,0.9143141788943588,0.9168542255197254
1.0076350052630534,0.9383885803039445,0.7398053892970538,0.7361257969867029,0.7448767608568058,0.749284127828685,0.750700117715193,0.7531405080872274,0.7593564495067071,0.7708467664058947,0.7867764235813232,0.8041831304607492,0.820409052572066,0.8343730833959602,0.8371267035460593
1.006919448101039,0.9014461156881964,0.6727007403998746,0.6568694231030564,0.6627931392425178,0.6665065579856836,0.6675500574895799,0.6697499112988434,0.6759559003082164,0.6878281462096126,0.7045842003114199,0.723104115976081,0.7404984359072874,0.7555387258697317,0.7585103648913256
1.0061896049867478,0.8643314121544624,0.6058710163312143,0.5780923767260396,0.5813579498164877,0.5845312999673036,0.585339950058622,0.587420983103723,0.5937222336597874,0.6060627586248356,0.6237103964188233,0.6433884425448473,0.661980237430435,0.6781153763538718,0.6813081657325756
1.0054466936560054,0.827150033643356,0.5395564927382802,0.5000952432018969,0.5008879673934158,0.5036812570345063,0.5043965113397524,0.5064824623315966,0.5129838660259994,0.5258757398866135,0.5444740938973753,0.5653476267594468,0.5851583310274519,0.602400013018162,0.6058156996551027
1.004691976913188,0.7900091844457557,0.4739984224502856,0.4231787667534126,0.4216985810354242,0.4242763163011991,0.4250419210978691,0.4272571766661266,0.4340620952447723,0.4475841015744494,0.4671854706620568,0.4892837152552492,0.5103267210910761,0.5286794583105624,0.5323183524416241
1.0039267602892454,0.7530171452763229,0.4094371532467935,0.3476411437934038,0.3441008245347843,0.3466302790625034,0.3475907013287465,0.350058902840363,0.3572679785630303,0.3714936660333442,0.3921428272656928,0.4154864195336901,0.437766784304338,0.4572277163834517,0.46108865863340337
1.0031523894171115,0.7162826872340377,0.3461102336852406,0.2737753382285223,0.2683984686127705,0.2710478902222208,0.2723467281845533,0.2751893910629223,0.2828994005185598,0.2978962106898288,0.3196298344970467,0.3442304778714983,0.3677447410837503,0.3883035408981649,0.39238388849533534
1.0023702471231062,0.6799144698324768,0.2842505347806224,0.2018664614142904,0.1948852203856623,0.1978220114564607,0.199600419961697,0.2029355934050577,0.211238367144511,0.2270668542364352,0.2499130313703658,0.2757732706776212,0.3005093803583464,0.3221482546752756,0.32644388642533256
1.0015817502348336,0.6440204295217204,0.2240844142596003,0.1321892564138833,0.1238420712486093,0.1272309773201808,0.1296261374136701,0.133567128986934,0.1425485556665843,0.1592617101775874,0.183239595577838,0.2103527084044306,0.2362900543491146,0.2589838358944831,0.26348917513690767
1.0007883461082474,0.6087071652428309,0.1658299485477267,0.0650057225473621,0.0555348293988516,0.0595361677582185,0.0626798263157987,0.0673340120691728,0.0770731419380222,0.0947158263201089,0.1198354017542961,0.148185404684864,0.1752949538928134,0.1990112797239794,0.20371933418054405
