Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
1.9448639650103368,1.7947943840398186,1.5310716577248928,1.4079319122070189,1.3390666436334322,1.2869583974285213,1.2393452485401792,1.203163224225949,1.1848387227872994,1.182360174905806,1.191537978700833,1.209012752241024,1.232551861413783,1.2607249668629237,1.2925798844978604,1.3274327825673315
1.894398042022809,1.7510030948223971,1.4974378551326684,1.3861154469556778,1.3235212032684096,1.2767052357026345,1.2350099547337758,1.2043276051441227,1.1901241803952682,1.190366760102492,1.201116772293934,1.2192507601835192,1.242720972327158,1.2702411795640447,1.3009729473082978,1.3343225631898832
1.8412672070538108,1.705249498693692,1.462715545321324,1.3637100966693358,1.3076155926725146,1.2661857455477417,1.2304449688660175,1.2052395631979642,1.1950549688213246,1.197841093950292,1.209922276834823,1.2284209752968314,1.2514816781137867,1.2779680263757744,1.3071603084629266,1.338559507817029
1.785518894515182,1.6575857877281264,1.4269310198875576,1.340707565658425,1.2913434527855594,1.2553979102552977,1.2256428311060847,1.2058839836577084,1.1996137673020169,1.204770468834935,1.2179525929678925,1.2365377669844508,1.2588695211088097,1.2839667436400792,1.31123318469684,1.3402689904703815
1.7272135677110485,1.608073513243095,1.3901120297326244,1.31709458771017,1.2746898291895632,1.2443298072307445,1.220586033620145,1.2062364528393363,1.2037758775626752,1.211137992137631,1.2252060446573596,1.2436212540973968,1.2649323270443666,1.2883182762163157,1.313310696852401,1.3396131333723114
1.6664253675753822,1.5567836913751223,1.352288000045125,1.2928532421525718,1.2576310224041538,1.232958969907562,1.215246071965971,1.2062621000501317,1.207507869415533,1.2169210230047165,1.2316793814503453,1.2496952292941843,1.2697277854730231,1.291120422052236,1.3135364590498002,1.3367866930577215
1.6032426631097052,1.5037969063590664,1.313490432997472,1.2679616212580689,1.2401348851147598,1.2212522273472617,1.209582969826698,1.2059148830630542,1.2107666080438508,1.2220898934748636,1.237366132774876,1.2547850701573309,1.2733208215690277,1.292484546178613,1.312074492890131,1.3320120094211614
1.537768489592522,1.4492034145472978,1.2737534930389585,1.2423948401487326,1.2221615714283602,1.2091660414723933,1.2035453066574713,1.2051373518612236,1.213498699704514,1.226606950134054,1.242255148436486,1.2589156695075103,1.2757807924614455,1.2925319028013236,1.3091045181114451,1.325533091426346
1.470120862269064,1.3931032489485669,1.233114758998481,1.21612636436713,1.2036647245912913,1.1966473431590632,1.1970707604987914,1.2038609104564988,1.2156403810498546,1.2304259454475688,1.246329358101159,1.262109422779832,1.2771785546223715,1.291389626557944,1.304816703457392,1.3176089561505533
1.40043295475258,1.335606319980818,1.19161611658003,1.1891296146302452,1.1845930707290917,1.183634848890342,1.190087159785956,1.202006580476196,1.2171178648092862,1.2334918004605424,1.2495647813763056,1.2643843165733877,1.2775834634421612,1.2891864776391764,1.299405994476503,1.3085063799708312
1.3288531327691977,1.2768325035550558,1.1493047549414623,1.1613797939025552,1.1648923680828558,1.1700608202936278,1.182514019199134,1.1994862535665296,1.2178481416201976,1.235740752880519,1.2519298190895474,1.265752169218191,1.2770603812680208,1.2860484492037112,1.293066166893443,1.2984922598128426
1.255544835171439,1.216911703033399,1.1062342227137272,1.1328558698154447,1.144507645040786,1.1558532107461668,1.1742645165015444,1.196204403268106,1.217740224899074,1.2371008969130044,1.2533848554449991,1.266217080981917,1.2756667850150385,1.282094368059798,1.2859837833716112,1.2878258163738232
1.180686295384671,1.155983867458919,1.0624654925661203,1.103542636287015,1.123385646797617,1.1409381271367625,1.165247850542951,1.1920602113535286,1.2166968129935265,1.2374931134618112,1.2538821993575462,1.265774157382925,1.2734500775690418,1.2774316391383258,1.2783322557877943,1.2767508977741668
1.104470097703884,1.094198945184993,1.0180679797713703,1.073432772575354,1.1014774004942185,1.1252425216366984,1.1553719059161758,1.186950049239825,1.2146163307156517,1.2368323812985946,1.253366390839809,1.2644085729241965,1.2704452170864786,1.2721522989896603,1.2702662325174623,1.2654886591607386
1.0271025642142506,1.0317167499584936,0.9731204593736787,1.0425288161864767,1.078740802629296,1.108697018482102,1.1445461376537631,1.1807702423462183,1.211395300781408,1.2350294511915774,1.2517748939970614,1.2620950430700353,1.2666727831816398,1.2663295513376067,1.2619165385533722,1.2542308994634932
0.948802969650913,0.9687067159110584,0.9277118285927493,1.010844968143361,1.0551431306744132,1.0912387747205778,1.132684580250179,1.173420034469764,1.206930984723093,1.2319928554186206,1.249039191143837,1.2587977681355604,1.262137597157858,1.260014956682434,1.2533858936579527,1.2431343292707067
0.8698025833198317,0.9053475188568034,0.8819416658362017,0.978408654914354,1.0306633831678205,1.072814271825682,1.1197088795410544,1.1648046607212763,1.201124222642636,1.2276312143780486,1.2450862821622353,1.2544709028775478,1.256828003473827,1.2532364365020912,1.2447456187524517,1.2323160226653493
0.7903435393325786,0.8418265438306888,0.8359205448571048,0.9452617804427812,1.0052943589465737,1.05338193708255,1.105551243713998,1.1548384315166973,1.193882391870639,1.2218557900641778,1.2398405790606568,1.2490595892068932,1.2507159005275896,1.2459972296739947,1.236033512472922,1.2218502704312975
0.7106775388864156,0.7783391827517767,0.7897700717041335,0.9114616136459136,0.9790443961999064,1.0329144995739468,1.0901572111598197,1.143447726921304,1.1851223966159643,1.2145832233505405,1.2332261679551029,1.2425015665895427,1.2437575804602112,1.2382759042091676,1.227253038359724,1.211767002803425
0.6310643911466534,0.7150879512774202,0.7436226226596508,0.877081270819405,0.9519387051817126,1.0114009951994678,1.0734881379689372,1.130573800538542,1.1747735944885729,1.205738378903353,1.2251693900127647,1.2347293460043347,1.2358954006973382,1.230027482023893,1.218373909467296,1.2020518881959794
0.5517704024120968,0.6522814200057608,0.6976207727485674,0.8422097678434728,0.9240202440333192,0.9888483480213256,1.0555233165968674,1.116175295443012,1.162780562040948,1.1952572091570233,1.2156016705899324,1.2256729003541167,1.2270602661504697,1.221185680266917,1.2093340934802108,1.1926481424869726
0.4730666265854769,0.5901329618482632,0.6519164160375828,0.8069516331694669,0.8953501045297553,0.9652824708228268,1.036261649335549,1.1002303815654813,1.1491056008862277,1.183089538353019,1.2044625036433838,1.2152627892697312,1.2171748531119306,1.2116662127219189,1.200043190955151,1.183460004785515
0.3952269934126027,0.5288593242686563,0.6066695902811932,0.7714260885130126,0.8660073927979892,0.9407488454741708,1.0157228154209392,1.0827384345688376,1.133730889224559,1.169201660600123,1.191702478701535,1.2034336022671288,1.2061574575090437,1.2013710330945018,1.1903870663929077,1.1743577544585688
0.3185263343529421,0.4686790418054484,0.5620470289944085,0.7357658194053928,0.8360886084502167,0.91531256271466,0.99394788830537,1.0637211904361368,1.1166601911917111,1.1535786435277562,1.1772862224678589,1.190127574395662,1.1939263053577738,1.1901933432084992,1.1802335414216722,1.16518406543571
0.2432383291417085,0.4098107105237946,0.5182204733082505,0.7001153712287739,0.8057065431713734,0.8890578204499197,0.9709993791310638,1.0432233273605096,1.0979200485531306,1.136226232433884,1.161195118581687,1.1752982060241757,1.1804041261382294,1.1780231381923818,1.1694388967593583,1.1557614227578983
0.1696333989333954,0.3524711515054091,0.4753647837105002,0.6646292183069922,0.7749887361756361,0.8620868990238169,0.9469607031844088,1.021312446719508,1.0775603960151476,1.117172259751508,1.1434296690538148,1.158913706230167,1.1655227644404689,1.1647530225208242,1.1578548802254964,1.1459002685058064
0.0979765742233844,0.2968734949320444,0.4336558976484193,0.629469562885114,0.7440755379869792,0.8345186498432258,0.921935086689019,0.9980784466023171,1.0556545617914133,1.0964674807454278,1.1240113698463237,1.1409600788104757,1.1492275940460943,1.1502840086264632,1.1453358858569362,1.1354075038740112
0.0285253673882788,0.243225219595751,0.3932686830229989,0.5948039276298748,0.7131178456090516,0.8064865498900115,0.8960439511937547,0.9736323039372016,1.0322986385509083,1.0741857784585491,1.102983991427151,1.121443682452351,1.1314815037258006,1.1345310066640455,1.1317459577926308,1.1240949553428567
-0.0384723194361241,0.1917261846724464,0.354374739618002,0.5608026093666906,0.6822745807300773,0.7781363881020562,0.8694248308003635,0.9481043032801372,1.007610234914007,1.0504237075476412,1.0804141816610962,1.1003931213152336,1.1122682452863737,1.1174277304331868,1.1169652832608403,1.1117874174589146
-0.1027802203820588,0.1425666913002169,0.3171402006674265,0.527636063174388,0.6517099880366347,0.7496236599394435,0.8422288928115698,0.9216417706855096,0.9817266428542324,1.0252993761555935,1.056391341381422,1.0778603575402572,1.0915949704323356,1.0989307795425391,1.1008958714129384,1.0983299130061503
-0.1641756358409832,0.0959256109446028,0.2817235851673424,0.4954722848392829,0.6215908329325232,0.7211107532973157,0.8146181443210148,0.8944063886206495,0.9548024800682277,0.9989506952390976,1.0310267598647245,1.0539209801625475,1.0694938308419848,1.079022708787153,1.083466166450655,1.0835938614900358
