Values,Values_03_49_29,Values_04_02_31,Values_04_14_43,Values_04_27_40,Values_04_40_31
1.9014238208256449,1.8518889331389168,1.8864929815050435,1.9123050731499045,1.927137301364536,1.9470829463567982
1.887630088293372,1.8168304451072768,1.83531952577973,1.844897499372936,1.848826664339749,1.8606689035496684
1.8742277111283128,1.781867235470781,1.7826400081534377,1.773913794878094,1.7650531660556683,1.7670039150425476
1.8612779932224908,1.7472059675485718,1.7287107010735503,1.6996098692104435,1.675993326356272,1.6661191830201352
1.8488344048346,1.7130580718764798,1.6738373953475476,1.6223568980155272,1.5819993800129784,1.5582741577117603
1.83694128632568,1.6796365086714615,1.6183755127773751,1.5426503347476568,1.4836220278014929,1.4439976598693107
1.8256327054521,1.6471522349283505,1.5627280600692044,1.461113775281207,1.3816255125778627,1.3241199568603075
1.814931499683528,1.615810439480656,1.507341090288026,1.3784962659460784,1.2769919177604212,1.199790388530839
1.804848529927564,1.585806625730416,1.4526964807435552,1.295662003798976,1.170912072573813,1.072475501015637
1.79538216593052,1.5573226384939745,1.3993020289070934,1.213571947824404,1.064761434068279,0.9439339314525335
1.7865180167960304,1.5305227472683025,1.3476790946517894,1.1332575958988875,0.9600607456530243,0.8161665044367424
1.7782289128700022,1.505549911421822,1.298348253322672,1.0557879980423863,0.8584229788085002,0.6913429281194026
1.7704751380427233,1.482522361294891,1.251813640372088,0.9822318553074454,0.7614897861516088,0.5717096516262354
1.7632049046646625,1.4615306309346738,1.208546834829186,0.9136171713844784,0.6708621225437437,0.45948624733778115
1.756355057070882,1.442635171598154,1.1689712212223544,0.8508912757356066,0.5880305487093638,0.35675949767621634
1.7498519844153957,1.4258646594467037,1.1334477731712338,0.7948840619102483,0.5143108467659498,0.2653847761791697
1.743612719313801,1.4112150862705113,1.1022631148355344,0.7462769801498751,0.4507899321714383,0.18690323136488496
1.7375461957870857,1.3986496899745513,1.075620549767404,0.7055797448756089,0.3982857836981374,0.1224809879732538
1.731554638218533,1.3880997442549294,1.0536345219929195,0.6731159634967944,0.3573234888997163,0.07287361847482059
1.7255350524311013,1.3794661873950465,1.0363287191695698,0.6490180801803688,0.3281278147115859,0.03841613797441484
1.7193807904509637,1.3726220316877715,1.0236377715965153,0.6332312668631882,0.3106312231470036,0.019036265523523076
1.712983161878194,1.367415460755783,1.0154122696891388,0.6255252673755335,0.3044951334004287,0.014286980077824064
